sent_id,tokens,entities,relations
19900711_s1,23,2,1
19900711_s2,15,4,2
19900711_s3,10,1,0
19900711_s4,35,5,2
19900711_s5,15,1,0
19900711_s6,17,3,0
19900711_s7,22,7,6
19900711_s8,26,4,0
19900711_s9,40,7,2
19900711_s10,17,3,2
19900711_s11,23,4,2
28112735_s0,10,5,4
28112735_s1,20,6,7
28112735_s2,19,4,4
28112735_s3,28,8,10
28112735_s4,27,6,2
28112735_s5,21,5,4
28112735_s6,26,6,3
28112735_s7,27,8,6
28112735_s8,20,5,5
28112735_s9,36,6,2
27276220_s0,14,4,2
27276220_s1,14,5,6
27276220_s2,16,2,0
27276220_s3,42,8,1
27276220_s4,17,4,0
27276220_s5,22,9,5
27276220_s6,16,4,0
27276220_s7,27,4,0
27276220_s8,21,5,1
27276220_s9,50,12,0
27276220_s10,44,6,3
27276220_s11,9,1,0
27276220_s12,39,8,4
27276220_s13,12,1,0
27276220_s14,26,5,3
27276220_s15,33,5,3
32074624_s0,39,9,6
32074624_s1,24,1,0
32074624_s2,20,5,5
32074624_s3,30,5,2
32074624_s4,31,7,2
32074624_s5,32,6,2
32074624_s6,20,4,0
32074624_s7,17,3,1
32074624_s8,16,5,0
32074624_s9,16,3,1
32074624_s10,31,5,4
27210031_s0,11,4,2
27210031_s1,14,2,1
27210031_s2,26,4,3
27210031_s3,18,2,0
27210031_s4,36,6,2
27210031_s5,5,0,0
27210031_s6,10,1,0
27210031_s7,12,1,0
27210031_s8,16,2,0
27210031_s9,30,4,2
27210031_s10,8,0,0
27210031_s11,28,2,0
27210031_s12,23,2,0
27210031_s13,17,2,0
27210031_s14,31,6,4
27210031_s15,37,4,0
27210031_s16,11,2,0
27210031_s17,33,2,1
27210031_s18,4,0,0
30835308_s0,42,10,2
30835308_s1,25,4,0
30835308_s2,44,9,3
30835308_s3,30,2,0
30835308_s4,47,8,0
30835308_s5,27,6,1
30835308_s6,26,3,1
30835308_s7,42,10,0
30835308_s8,48,9,0
30835308_s9,50,9,0
30835308_s10,25,5,0
30835308_s11,49,10,8
30835308_s12,5,0,0
26043338_s0,23,5,7
26043338_s1,20,3,1
26043338_s2,33,6,0
26043338_s3,33,7,5
26043338_s4,6,1,0
26043338_s5,21,2,0
26043338_s6,28,6,0
26043338_s7,14,4,3
26043338_s8,23,4,3
26043338_s9,43,8,6
26043338_s10,22,4,3
26043338_s11,28,2,0
33865502_s0,10,2,0
33865502_s1,25,5,0
33865502_s2,16,4,3
33865502_s3,28,6,2
33865502_s4,25,5,3
33865502_s5,15,4,2
33865502_s6,17,3,0
33865502_s7,16,3,3
33865502_s8,25,5,0
29615675_s0,15,3,0
29615675_s1,15,4,6
29615675_s2,30,11,15
29615675_s3,28,4,0
29615675_s4,26,5,0
29615675_s5,10,2,0
29615675_s6,14,5,4
29615675_s7,31,3,0
29615675_s8,18,1,0
29615675_s9,16,2,1
29615675_s10,16,2,0
23117573_s0,14,4,3
23117573_s1,15,3,2
23117573_s2,27,3,3
23117573_s3,13,2,0
23117573_s4,4,1,0
23117573_s5,2,0,0
23117573_s6,23,2,0
23117573_s7,8,2,0
23117573_s8,29,5,3
23117573_s9,28,6,6
23117573_s10,23,4,2
23117573_s11,14,1,0
23117573_s12,19,4,3
23117573_s13,18,2,0
23117573_s14,30,5,3
23117573_s15,15,1,0
35411074_s0,23,5,1
35411074_s1,16,4,0
35411074_s2,20,3,0
35411074_s3,15,2,1
35411074_s4,11,1,0
35411074_s5,16,3,0
35411074_s6,53,10,0
35411074_s7,35,7,2
35411074_s8,19,3,1
35411074_s9,16,3,0
35411074_s10,25,5,2
16452660_s0,18,4,4
16452660_s1,12,2,1
16452660_s2,17,2,0
16452660_s3,18,4,2
16452660_s4,31,4,0
16452660_s5,25,3,0
16452660_s6,23,3,1
16452660_s7,21,5,3
16452660_s8,17,5,0
16452660_s9,29,5,1
16452660_s10,21,3,2
16452660_s11,35,6,3
15849218_s0,16,6,4
15849218_s1,27,6,2
15849218_s2,18,6,4
15849218_s3,22,6,2
15849218_s4,22,6,6
15849218_s5,9,1,0
15849218_s6,20,4,0
15849218_s7,12,2,0
15849218_s8,27,5,2
15849218_s9,12,3,1
15849218_s10,25,6,0
20221122_43_s0,46,8,3
32744705_s0,9,1,0
32744705_s1,30,4,2
32744705_s2,13,0,0
32744705_s3,10,2,1
32744705_s4,21,3,1
32744705_s5,19,2,0
32744705_s6,28,5,0
32744705_s7,28,3,0
32744705_s8,10,1,0
32744705_s9,18,2,0
32744705_s10,13,1,0
32744705_s11,17,1,0
32744705_s12,27,3,0
32744705_s13,19,3,0
32744705_s14,33,5,0
32744705_s15,21,1,0
20221103_130_s0,33,10,6
28396255_s0,8,1,0
28396255_s1,14,5,7
28396255_s2,17,1,0
28396255_s3,18,4,2
28396255_s4,28,8,0
28396255_s5,15,0,0
28396255_s6,22,3,0
28396255_s7,26,5,0
28396255_s8,27,1,0
28396255_s9,28,1,0
16088264_s0,15,4,0
16088264_s1,34,5,1
16088264_s2,8,0,0
16088264_s3,54,10,3
16088264_s4,23,4,2
16088264_s5,6,0,0
16088264_s6,51,8,3
16088264_s7,22,4,0
16088264_s8,15,3,2
16088264_s9,11,3,1
28384832_s0,7,1,0
28384832_s1,32,6,5
28384832_s2,15,2,0
28384832_s3,41,12,2
28384832_s4,10,0,0
28384832_s5,21,5,0
28384832_s6,22,4,0
28384832_s7,37,4,1
28384832_s8,30,3,1
28384832_s9,36,7,4
28384832_s10,39,11,16
28384832_s11,23,2,1
28384832_s12,45,6,0
20221103_158_s0,45,8,2
33411126_s0,16,4,1
33411126_s1,15,5,5
33411126_s2,21,4,2
33411126_s3,18,4,1
33411126_s4,20,4,0
33411126_s5,11,1,0
33411126_s6,7,1,0
33411126_s7,14,1,0
33411126_s8,95,22,7
33411126_s9,9,2,0
33411126_s10,17,9,7
12663711_s0,10,4,3
12663711_s1,28,6,2
12663711_s2,24,8,5
12663711_s3,28,9,2
12663711_s4,20,5,0
12663711_s5,11,4,0
12663711_s6,22,5,2
12663711_s7,12,6,8
12663711_s8,21,4,0
12663711_s9,12,3,0
12663711_s10,16,3,0
12663711_s11,18,4,0
12663711_s12,21,9,6
12663711_s13,14,4,1
36625807_s0,5,1,0
36625807_s1,39,8,11
36625807_s2,11,1,0
36625807_s3,40,4,0
36625807_s4,11,2,0
36625807_s5,35,5,4
36625807_s6,56,11,8
36625807_s7,16,1,0
36625807_s8,34,7,5
36625807_s9,36,9,7
36625807_s10,14,4,5
36625807_s11,22,6,4
36625807_s12,20,4,1
36625807_s13,16,5,6
36625807_s14,20,4,2
36625807_s15,24,7,9
20221122_159_s0,52,10,2
18246352_s0,9,4,1
18246352_s1,15,4,5
18246352_s2,23,5,4
18246352_s3,21,3,0
18246352_s4,30,10,3
18246352_s5,25,6,4
18246352_s6,26,6,4
18246352_s7,43,5,0
18246352_s8,40,5,2
18246352_s9,13,5,0
18246352_s10,43,6,0
18246352_s11,30,6,0
18246352_s12,26,5,3
18246352_s13,11,3,2
18246352_s14,11,4,2
18246352_s15,10,3,2
18246352_s16,14,4,4
30482883_s0,13,4,3
30482883_s1,20,5,4
30482883_s2,17,3,3
30482883_s3,19,3,0
30482883_s4,27,6,2
30482883_s5,21,6,1
30482883_s6,18,5,2
30482883_s7,26,5,2
20221103_103_s0,30,6,4
33610228_s0,24,4,0
33610228_s1,17,4,2
33610228_s2,16,4,1
33610228_s3,45,6,0
33610228_s4,20,3,0
33610228_s5,19,3,1
33610228_s6,33,5,0
33610228_s7,4,1,0
33610228_s8,42,3,0
33610228_s9,8,1,0
33610228_s10,36,1,0
33610228_s11,33,2,0
33610228_s12,54,7,0
33610228_s13,46,2,0
33610228_s14,25,3,2
33610228_s15,23,4,2
33610228_s16,3,0,0
20221103_31_s0,32,6,3
21441918_s0,11,4,3
21441918_s1,23,5,3
21441918_s2,26,7,4
21441918_s3,16,6,0
21441918_s4,25,5,4
21441918_s5,22,6,3
21441918_s6,14,3,2
21441918_s7,20,5,3
33974019_s0,23,5,0
33974019_s1,10,1,0
33974019_s2,22,2,0
33974019_s3,19,4,0
33974019_s4,73,10,4
33974019_s5,61,5,0
33974019_s6,30,2,1
33974019_s7,16,1,0
33974019_s8,44,5,0
33974019_s9,61,8,1
33974019_s10,58,7,0
33974019_s11,11,1,0
33974019_s12,40,7,1
33974019_s13,22,0,0
33974019_s14,9,0,0
20221122_171_s0,39,10,4
38104575_s0,39,6,1
38104575_s1,24,4,1
38104575_s2,26,7,2
38104575_s3,19,4,0
38104575_s4,17,2,0
38104575_s5,43,8,4
38104575_s6,23,1,0
38104575_s7,36,5,0
38104575_s8,39,5,0
38104575_s9,14,1,0
38104575_s10,27,4,0
38104575_s11,40,5,0
38104575_s12,16,3,0
38104575_s13,7,1,0
38104575_s14,30,1,0
38104575_s15,12,2,0
38104575_s16,46,5,0
38104575_s17,12,1,0
38104575_s18,67,11,9
38104575_s19,54,8,0
38104575_s20,19,3,1
38104575_s21,35,5,2
38104575_s22,32,5,0
38104575_s23,3,1,0
10023948_s0,13,3,0
10023948_s1,13,3,2
10023948_s2,30,4,3
10023948_s3,14,1,0
10023948_s4,36,6,0
10023948_s5,11,0,0
10023948_s6,28,2,0
10023948_s7,54,4,1
10023948_s8,19,1,0
10023948_s9,15,2,0
10023948_s10,26,2,1
10023948_s11,24,3,2
29731158_s0,17,4,2
29731158_s1,19,4,2
29731158_s2,20,5,6
29731158_s3,22,3,1
29731158_s4,31,6,0
29731158_s5,34,4,0
29731158_s6,34,4,0
29731158_s7,23,5,0
29731158_s8,36,7,0
29731158_s9,20,6,0
29731158_s10,38,5,0
29731158_s11,48,9,7
29731158_s12,16,3,1
29731158_s13,19,5,3
29731158_s14,25,6,2
29731158_s15,7,1,0
34185347_s0,13,3,3
34185347_s1,16,5,7
34185347_s2,23,3,0
34185347_s3,18,2,0
34185347_s4,36,3,0
34185347_s5,27,3,1
34185347_s6,8,2,0
34185347_s7,23,6,4
34185347_s8,20,2,1
34185347_s9,43,6,2
34185347_s10,51,6,0
34185347_s11,38,8,5
34185347_s12,25,2,1
20221122_106_s0,29,6,0
14645311_s0,50,8,3
14645311_s1,18,3,2
14645311_s2,25,2,0
14645311_s3,32,5,4
14645311_s4,10,1,0
14645311_s5,36,4,0
14645311_s6,17,3,0
14645311_s7,39,4,0
14645311_s8,24,3,0
14645311_s9,31,7,2
14645311_s10,14,2,0
14645311_s11,24,2,1
14645311_s12,11,0,0
14645311_s13,45,9,3
10636368_s0,32,7,1
10636368_s1,14,2,0
10636368_s2,14,2,0
10636368_s3,22,5,2
10636368_s4,14,1,0
10636368_s5,14,3,0
10636368_s6,17,0,0
10636368_s7,14,0,0
10636368_s8,15,4,0
10636368_s9,22,5,1
10636368_s10,31,2,1
10636368_s11,16,2,0
10636368_s12,28,3,0
10636368_s13,14,3,1
33075650_s0,17,4,3
33075650_s1,29,4,3
33075650_s2,50,14,17
33075650_s3,21,4,1
33075650_s4,23,7,0
33075650_s5,14,3,1
33075650_s6,35,5,1
33075650_s7,42,7,4
33075650_s8,14,4,2
33075650_s9,19,4,1
20221103_94_s0,45,8,0
20221122_9_s0,34,10,6
20221103_21_s0,55,8,3
34248688_s0,24,5,1
34248688_s1,23,4,6
34248688_s2,22,3,0
34248688_s3,25,3,0
34248688_s4,12,3,3
34248688_s5,18,2,0
34248688_s6,19,1,0
34248688_s7,22,3,0
34248688_s8,37,3,1
20221103_58_s0,33,8,6
20221103_180_s0,36,5,5
24927794_s0,10,3,1
24927794_s1,15,3,2
24927794_s2,22,3,2
24927794_s3,44,9,6
24927794_s4,46,6,2
24927794_s5,24,6,0
24927794_s6,29,3,0
34653393_s0,15,5,1
34653393_s1,24,3,1
34653393_s2,19,3,0
34653393_s3,32,6,1
34653393_s4,29,8,0
34653393_s5,14,2,0
34653393_s6,25,3,0
34653393_s7,22,1,0
34653393_s8,19,1,0
34653393_s9,13,3,2
34653393_s10,18,6,2
34653393_s11,8,0,0
34653393_s12,18,0,0
34653393_s13,49,2,0
34653393_s14,21,4,0
34653393_s15,15,3,0
34653393_s16,5,1,0
34653393_s17,45,14,0
34653393_s18,11,0,0
34653393_s19,7,0,0
34653393_s20,20,4,0
34653393_s21,19,2,1
34653393_s22,7,0,0
20221122_116_s0,33,4,1
20221122_176_s0,23,5,1
20221122_70_s0,24,4,2
20221122_37_s0,23,5,3
22926083_s0,19,4,1
22926083_s1,39,6,2
22926083_s2,13,3,2
22926083_s3,26,6,3
22926083_s4,47,15,5
22926083_s5,14,1,0
22926083_s6,18,4,3
22926083_s7,18,4,1
22926083_s8,29,4,2
22926083_s9,17,3,0
22926083_s10,28,6,2
27150382_s0,10,4,0
27150382_s1,31,6,0
27150382_s2,26,4,0
27150382_s3,28,3,1
27150382_s4,41,6,0
27150382_s5,32,4,0
37329895_s0,7,1,0
37329895_s1,23,3,2
37329895_s2,16,2,0
20221103_3_s0,101,21,8
20221103_188_s0,34,7,2
28303025_s0,8,2,0
28303025_s1,13,2,1
28303025_s2,29,8,5
28303025_s3,36,3,0
28303025_s4,25,2,0
15380965_s0,15,3,0
15380965_s1,25,4,2
15380965_s2,16,3,2
15380965_s3,21,4,1
15380965_s4,48,9,1
15380965_s5,21,4,1
15380965_s6,24,7,2
15380965_s7,19,5,2
15380965_s8,26,5,1
15380965_s9,42,11,4
15380965_s10,28,4,0
15380965_s11,30,6,1
20221103_164_s0,21,5,3
23643112_s0,27,7,3
23643112_s1,11,3,2
23643112_s2,22,3,1
23643112_s3,21,2,0
23643112_s4,10,3,0
23643112_s5,47,6,0
23643112_s6,35,6,2
23643112_s7,9,1,0
23643112_s8,25,2,0
23643112_s9,10,0,0
23643112_s10,14,3,3
23643112_s11,5,1,0
23643112_s12,9,0,0
23643112_s13,13,1,0
23643112_s14,16,2,0
23643112_s15,17,2,0
23643112_s16,23,4,1
23643112_s17,29,3,0
23643112_s18,31,5,0
23643112_s19,38,5,0
23643112_s20,16,3,1
23643112_s21,12,2,0
23643112_s22,9,0,0
29726344_s0,49,10,5
29726344_s1,29,3,3
29726344_s2,23,4,0
29726344_s3,44,2,0
29726344_s4,48,5,0
29726344_s5,36,4,0
29726344_s6,14,0,0
29726344_s7,24,3,0
29726344_s8,23,2,1
29726344_s9,29,1,0
29726344_s10,8,0,0
29726344_s11,52,4,0
29726344_s12,52,6,0
29726344_s13,41,5,1
29726344_s14,23,2,0
29726344_s15,23,4,0
29726344_s16,18,4,3
29726344_s17,14,0,0
29726344_s18,24,2,0
29726344_s19,6,0,0
20221103_123_s0,33,2,1
19454640_s0,6,3,0
19454640_s1,28,3,1
19454640_s2,18,0,0
19454640_s3,18,2,0
19454640_s4,24,3,0
19454640_s5,23,4,0
19454640_s6,25,3,0
19454640_s7,19,5,0
19454640_s8,20,3,0
19454640_s9,6,0,0
19454640_s10,20,9,0
19454640_s11,31,7,0
19454640_s12,64,9,1
19454640_s13,60,10,1
19454640_s14,15,3,1
19454640_s15,13,1,0
19454640_s16,15,1,0
32722366_s0,8,3,0
32722366_s1,39,16,20
31746972_s0,10,3,2
31746972_s1,34,5,1
31746972_s2,17,3,1
31746972_s3,27,3,0
31746972_s4,16,4,1
31746972_s5,12,1,0
31746972_s6,22,5,1
31746972_s7,16,1,0
31746972_s8,60,15,1
31746972_s9,11,4,0
31746972_s10,60,17,4
31746972_s11,38,12,1
31746972_s12,26,9,3
31746972_s13,26,4,1
31746972_s14,36,9,2
31746972_s15,61,22,3
31746972_s16,40,4,2
20221103_182_s0,19,3,0
29562903_s0,16,3,0
29562903_s1,25,4,3
29562903_s2,45,7,2
29562903_s3,37,7,3
29562903_s4,15,3,0
29562903_s5,21,3,0
29562903_s6,8,0,0
29562903_s7,10,3,0
29562903_s8,43,21,20
29562903_s9,39,7,6
29562903_s10,14,3,2
29562903_s11,27,2,1
29562903_s12,12,1,0
23759376_s0,18,7,2
23759376_s1,17,2,1
23759376_s2,22,5,0
23759376_s3,33,9,1
23759376_s4,17,1,0
23759376_s5,6,0,0
23759376_s6,21,6,2
23759376_s7,37,7,0
23759376_s8,33,8,1
23759376_s9,26,6,0
23759376_s10,36,8,0
23759376_s11,26,5,2
23759376_s12,18,3,1
23759376_s13,2,0,0
9193383_s0,9,4,2
9193383_s1,16,3,2
9193383_s2,14,2,0
9193383_s3,17,3,3
9193383_s4,28,5,0
9193383_s5,20,2,0
9193383_s6,31,8,0
9193383_s7,22,5,0
9193383_s8,41,7,6
19571811_s0,11,3,2
19571811_s1,27,6,5
19571811_s2,15,3,1
19571811_s3,19,2,1
19571811_s4,7,1,0
19571811_s5,25,4,1
19571811_s6,19,2,0
28648553_s0,6,3,0
28648553_s1,24,5,1
28648553_s2,13,1,0
28648553_s3,12,3,2
28648553_s4,32,6,3
28648553_s5,19,3,3
28648553_s6,6,1,0
28648553_s7,16,4,0
28648553_s8,28,3,1
28648553_s9,21,2,0
28648553_s10,21,5,0
28648553_s11,30,8,1
28648553_s12,27,2,0
21251875_s0,19,6,0
21251875_s1,21,3,1
21251875_s2,16,3,0
21251875_s3,30,10,4
21251875_s4,8,1,0
21251875_s5,14,2,0
21251875_s6,14,1,0
21251875_s7,41,11,8
21251875_s8,14,2,0
21251875_s9,25,4,0
21251875_s10,15,1,0
21251875_s11,26,7,4
21251875_s12,14,3,0
21251875_s13,28,4,0
21251875_s14,27,6,0
21251875_s15,38,7,2
21251875_s16,10,3,0
21251875_s17,2,0,0
20221103_67_s0,29,6,1
8929413_s0,14,3,2
8929413_s1,31,8,11
8929413_s2,17,6,3
8929413_s3,25,5,4
8929413_s4,41,3,1
20221103_63_s0,43,6,3
15947515_s0,12,3,2
15947515_s1,11,1,0
15947515_s2,26,2,0
15947515_s3,21,4,2
15947515_s4,47,10,5
15947515_s5,34,8,4
15947515_s6,46,9,14
15947515_s7,18,4,3
15947515_s8,38,7,4
20221122_168_s0,34,5,4
16785776_s0,11,3,0
16785776_s1,6,0,0
16785776_s2,17,6,6
16785776_s3,19,3,1
16785776_s4,17,5,2
16785776_s5,20,1,0
16785776_s6,5,1,0
16785776_s7,11,0,0
16785776_s8,13,0,0
16785776_s9,13,1,0
16785776_s10,26,3,2
16785776_s11,21,2,0
16244648_s0,10,4,3
16244648_s1,10,4,2
16244648_s2,23,7,6
16244648_s3,15,2,0
16244648_s4,24,4,0
16244648_s5,37,7,1
16244648_s6,30,7,2
16244648_s7,28,7,2
16244648_s8,16,3,2
20221103_28_s0,38,7,6
29808008_s0,9,3,0
29808008_s1,19,5,1
29808008_s2,24,6,4
29808008_s3,34,4,2
29808008_s4,23,3,1
29808008_s5,40,9,4
29808008_s6,30,7,2
29808008_s7,39,5,2
21677641_s0,10,2,1
21677641_s1,35,8,4
21677641_s2,40,6,1
21677641_s3,22,3,0
21677641_s4,23,4,2
21677641_s5,30,5,4
21677641_s6,33,8,6
21677641_s7,13,2,1
21677641_s8,25,3,2
20221122_13_s0,52,16,3
37815563_s0,8,1,0
37815563_s1,17,2,0
37815563_s2,14,4,3
37815563_s3,9,2,0
37815563_s4,18,3,2
37815563_s5,19,2,0
37815563_s6,11,1,0
37815563_s7,11,1,0
37815563_s8,19,1,0
37815563_s9,12,5,4
37815563_s10,19,7,10
37815563_s11,6,2,0
37815563_s12,13,2,0
37815563_s13,36,4,2
37815563_s14,30,6,8
37815563_s15,18,3,0
37815563_s16,12,3,1
37815563_s17,13,2,0
37815563_s18,26,12,11
20221122_179_s0,27,4,1
20221103_187_s0,15,4,1
37478889_s0,9,3,1
37478889_s1,14,3,3
37478889_s2,16,3,1
37478889_s3,28,1,0
37478889_s4,43,8,1
37478889_s5,31,5,2
37478889_s6,15,2,0
37713547_s0,23,4,1
37713547_s1,44,6,1
37713547_s2,14,1,0
37713547_s3,25,1,0
37713547_s4,22,2,0
37713547_s5,30,6,5
37713547_s6,64,15,4
37713547_s7,14,3,2
37713547_s8,27,7,2
37713547_s9,43,8,4
37713547_s10,23,4,0
37713547_s11,23,2,1
37713547_s12,21,3,2
37713547_s13,12,1,0
37713547_s14,19,1,0
20221103_125_s0,26,5,2
26359903_s0,10,4,0
26359903_s1,20,4,3
26359903_s2,30,5,3
26359903_s3,47,7,8
26359903_s4,36,4,0
26359903_s5,28,2,0
26360730_s0,20,4,1
26360730_s1,20,4,3
20221103_176_s0,56,11,0
20221122_41_s0,34,10,6
25455248_s0,7,2,0
25455248_s1,26,7,0
25455248_s2,17,3,0
25455248_s3,28,4,0
25455248_s4,23,3,1
25455248_s5,21,2,0
25455248_s6,22,3,0
20221122_99_s0,40,6,1
30327588_s0,15,3,2
30327588_s1,21,6,5
30327588_s2,39,8,10
30327588_s3,40,8,5
30327588_s4,17,4,2
30327588_s5,19,4,1
30327588_s6,32,6,3
30327588_s7,10,2,1
30327588_s8,21,5,2
30327588_s9,10,3,1
30327588_s10,35,6,3
30327588_s11,16,3,0
17342225_s0,8,2,0
17342225_s1,12,2,0
17342225_s2,20,1,0
17342225_s3,17,5,0
17342225_s4,4,0,0
17342225_s5,11,3,1
17342225_s6,19,2,0
17342225_s7,24,5,2
17342225_s8,12,2,0
10742158_s0,17,5,2
10742158_s1,17,4,3
10742158_s2,18,5,6
10742158_s3,14,3,0
10742158_s4,31,8,5
10742158_s5,18,5,3
10742158_s6,20,3,2
10742158_s7,35,6,3
10742158_s8,11,1,0
10742158_s9,18,3,1
10742158_s10,23,4,3
